name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mmusculus_genes
NECAB1,ENSG00000123119,N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983],0.9311429458575622,1.0917287686987671,1.9139101757361223,5.291484967259705e-07,0.3517796261203069,0.9999825715135549,ENSMUSG00000040536
WWP1,ENSG00000123124,WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004],0.1691204927312327,3827.681070208289,0.025494205523151,4.760820074038598e-06,0.8657018662350305,0.9999825715135549,ENSMUSG00000041058
ACOT9,ENSG00000123130,acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152],-0.7288219276970622,1.196134237171428,-1.2879694391858871,-4.682347306964718e-07,0.4661105965388753,0.9999825715135549,ENSMUSG00000047565; ENSMUSG00000025287
PRDX4,ENSG00000123131,peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169],0.8765680880255481,440.2171872914768,0.0902706490261044,8.850489024889852e-06,0.3807212787527536,0.9999825715135549,ENSMUSG00000025289
DDX39A,ENSG00000123136,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821],-1.0064847312843923,876.9692888635607,-0.1639002323062972,-7.957499471624903e-06,0.3141824528272535,0.9999825715135549,ENSMUSG00000005481
PKN1,ENSG00000123143,protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405],-1.5751757153611547,3103.758691582695,-0.1202314430819619,-2.1937966885976157e-05,0.1152158910077294,0.9999825715135549,ENSMUSG00000057672
TRIR,ENSG00000123144,telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424],1.9541599109578276,1999.3118271786072,0.1319094122828124,3.03517888177508e-05,0.0506823086884973,0.9999825715135549,ENSMUSG00000041203
ADGRE5,ENSG00000123146,adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711],-0.5549621727963415,16951.145236157437,-0.0513304819813981,-9.581997912535808e-06,0.5789205343557298,0.9999825715135549,ENSMUSG00000002885
WDR83,ENSG00000123154,WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672],0.6097487995089447,335.04971572741795,0.0571012719392196,6.7820901753246485e-06,0.5420282228946549,0.9999825715135549,ENSMUSG00000005150
GIPC1,ENSG00000123159,GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226],1.9995904044332216,1136.6073748285094,0.1254960356422269,2.8585295878590612e-05,0.0455445109370985,0.9999825715135549,ENSMUSG00000019433
SPRYD7,ENSG00000123178,SPRY domain containing 7 [Source:HGNC Symbol;Acc:HGNC:14297],-0.0670024187087131,538.3503024610443,-0.0052071728201889,-8.834058770721941e-07,0.9465797776783628,0.9999825715135549,ENSMUSG00000021930
EBPL,ENSG00000123179,EBP like [Source:HGNC Symbol;Acc:HGNC:18061],0.0129027653041154,71.90133075867462,0.0031717234126161,1.8166507094740224e-07,0.9897053684170076,0.9999825715135549,ENSMUSG00000021928
ATP7B,ENSG00000123191,ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870],-0.263172298164266,685.8622725645573,-0.0768820869222215,-1.0072477400256456e-06,0.7924177812745753,0.9999825715135549,ENSMUSG00000006567
ZC3H13,ENSG00000123200,zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368],-0.2541752176196953,1556.759019609416,-0.0186405347397919,-3.599298656857731e-06,0.7993601954956324,0.9999825715135549,ENSMUSG00000022000
NLN,ENSG00000123213,neurolysin [Source:HGNC Symbol;Acc:HGNC:16058],-1.948423224812084,635.9098789819913,-0.1863139407058621,-1.9741225778480607e-05,0.0513643430921116,0.9999825715135549,ENSMUSG00000021710
CENPK,ENSG00000123219,centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479],0.3489661267101758,15.410621977182467,0.1413182953051761,9.03943547907086e-07,0.7271147398535677,0.9999825715135549,ENSMUSG00000021714
OPTN,ENSG00000123240,optineurin [Source:HGNC Symbol;Acc:HGNC:17142],1.210155687140662,796.9905916479573,0.1250422015652711,1.2048209069347164e-05,0.2262191581970375,0.9999825715135549,ENSMUSG00000026672
ITIH5,ENSG00000123243,inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449],-0.6667711811437016,122.21298185984232,-0.2067815989654914,-2.1429650664058247e-06,0.5049183035377185,0.9999825715135549,ENSMUSG00000025780
ATF1,ENSG00000123268,activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783],-0.0119028058975865,1025.9996520070913,-0.0011027085583228,-1.6519722006951578e-06,0.990503159191596,0.9999825715135549,ENSMUSG00000023027
TSFM,ENSG00000123297,"Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]",0.3986418993463183,264.150813504485,0.0537041685581317,3.076316039909924e-06,0.6901570840579763,0.9999825715135549,ENSMUSG00000040521
ARHGAP9,ENSG00000123329,Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130],-1.5881136243039993,910.3051923433972,-0.2271084908445955,-1.0651192329850265e-05,0.1122606480429911,0.9999825715135549,ENSMUSG00000040345
NCKAP1L,ENSG00000123338,NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862],-1.300756242956051,3835.67048140518,-0.2560488031485736,-4.70515824622914e-06,0.1933419039810833,0.9999825715135549,ENSMUSG00000022488
MMP19,ENSG00000123342,matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165],-0.0959992498800492,1217.0670377575002,-0.016106808909571,-7.897059680742347e-07,0.9235211683212476,0.9999825715135549,ENSMUSG00000025355
PFDN5,ENSG00000123349,prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869],0.5679395386436538,1250.6129933796772,0.046251218288865,7.39192300108656e-06,0.570076023167996,0.9999825715135549,ENSMUSG00000001289
SPATS2,ENSG00000123352,spermatogenesis associated serine rich 2 [Source:HGNC Symbol;Acc:HGNC:18650],0.4735370466069347,578.9043204206881,0.0446892724508647,9.585322414606136e-06,0.6358300769102923,0.9999825715135549,ENSMUSG00000051934
