ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Database,Pathway,Direction
0.43315890760244496,1.740036441474883,0.0,0.045952337891926015,0.997,31/75,17.94%,RPS6KB1;HINFP;KHDRBS1;CDC7;ANAPC1;GSPT1;CHMP4B;ACVR1B;CCNY;EIF4E;ZNF324;BCAT1;CCNA2;CCNO;CCNJL;CCNI;CCNF;CCNI2;CCNP;CCNB1;CCNE2;CCNG2;CCNA1;CCND1;CCNG1;CCNJ;CCND3;CCNB2;CCND2;CCNE1;EIF4EBP1,GO_Biological_Process_2025,Mitotic Cell Cycle Phase Transition (GO:0044772),Upregulated
0.6208410662270795,1.7392180590102477,0.002004008016032064,0.046142234026873466,0.997,6/16,2.10%,ABCD3;ABCC3;ABCC2;ABCC4;ABCC11;SLC27A5,GO_Biological_Process_2025,Bile Acid and Bile Salt Transport (GO:0015721),Upregulated
0.5087877285119794,1.7380299224652367,0.005802707930367505,0.04648783952536346,0.997,19/35,17.81%,CCNY;CCNA2;CCNO;CCNJL;CCNI;CCNF;CCNI2;CCNP;CCNB1;CCNE2;CCNG2;CCNA1;CCND1;CCNG1;CCNJ;CCND3;CCNB2;CCND2;CCNE1,GO_Molecular_Function_2025,Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538),Upregulated
0.4068117681273679,1.7369584938742875,0.0,0.04668402376162477,0.997,50/109,22.08%,GTPBP4;CNGA1;CNGB3;CNGA3;CNGA4;CNGB1;GNAI1;GNA15;GNA11;GNAT2;GNA14;GNAT1;GNAI3;GNAQ;GBP1;GBP6;GBP7;GBP4;RNF112;ATL1;GBP2;GBP5;ATL2;PCK1;DYNC1LI1;EEF1A1;RAB8B;RAC2;RANBP17;RAB11A;ARF3;ARL17B;ARF1;SEPHS1;RAB4B;GTPBP2;RHOB;RHOC;RHOA;TSR1;NCOA3;BMS1;ADSS2;RAB7A;PDE5A;PDE2A;PDE11A;RAB14;ANXA6;CDC42,GO_Molecular_Function_2025,Guanyl Ribonucleotide Binding (GO:0032561),Upregulated
0.603629421698243,1.733700130764274,0.01910828025477707,0.04782494630120794,0.997,7/18,12.44%,ACHE;LPIN3;LPIN2;LPIN1;PCYT1B;PCYT1A;SLC44A3,Reactome_2022,Synthesis Of PC R-HSA-1483191,Upregulated
0.5167114343994466,1.7301407462774734,0.006036217303822937,0.0492765765745057,0.997,16/32,17.97%,RPS6KA4;RPS6KB1;RPS6KA2;RPS6KA1;RPS6KB2;RPS6KA5;PDK1;PDCD4;EIF4A1;EIF4E;RPTOR;PIK3CG;PIK3CA;PIK3CB;EIF4EBP1;RPS6,WikiPathways_2024_Human,Translation Inhibitors In Chronically Activated PDGFRA Cells WP4566,Upregulated
0.5963689638491674,1.7271430384041462,0.013618677042801557,0.0504626426000011,0.997,5/17,13.14%,GNA12;PPP4R3C;PPP4R3A;PPP4R3B;PHACTR4,GO_Molecular_Function_2025,Protein Phosphatase Activator Activity (GO:0072542),Upregulated
0.529976208187778,1.7239979789045432,0.00404040404040404,0.05175100017043042,0.997,12/28,8.07%,CNGA1;CNGB3;CNGA3;HCN4;CNGA4;CNGB1;TRPM1;TRPM6;TRPM3;TRPM7;TRPM5;TRPM4,GO_Biological_Process_2025,Monoatomic Cation Transport (GO:0006812),Upregulated
0.40003664649170595,1.7229721236699522,0.0,0.05212375970456391,0.997,38/108,18.02%,SMAD4;NFKBIA;ZFP36;ITGAL;NFKB1;NFKB2;RELA;RELB;CRTC1;CRTC3;CRTC2;MSX2;MSX1;ANAPC1;E2F2;RB1;GPS2;FOS;FOSL1;ATF6B;CREB3L2;CREB3L4;CREB3L3;CREB1;CREB3L1;CREB3;PIK3CD;PIK3CA;PIK3CB;CCNA2;CCNE2;CCNA1;CCND1;CCND3;CCNB2;CCND2;CCNE1;ADCY5,KEGG_2021_Human,Human T-cell leukemia virus 1 infection,Upregulated
0.4671890952389555,1.7227268070308446,0.005952380952380952,0.05197449266843331,0.997,17/46,7.41%,AGPAT3;AGPAT4;FITM1;FITM2;PCYT2;PLPP1;PLPP4;PLPP5;PLPPR4;PLPP3;PLPP2;PLPPR1;PLPPR2;PLPPR3;PLPPR5;ACP6;LGALS13,GO_Biological_Process_2025,Phospholipid Metabolic Process (GO:0006644),Upregulated
0.40961908385891543,1.720751185885388,0.001941747572815534,0.052839173444242535,0.997,37/93,25.49%,PLIN3;PLIN2;CFTR;UBAP1;RB1CC1;PIK3C3;SQSTM1;PINK1;PRKAB1;MFN2;MFN1;DYNC1LI2;DYNC1LI1;EEF1A1;TSC1;CHMP4B;ATG101;PEX5;BECN1;DYNC1I2;DYNC1I1;RPTOR;TOMM40;PGAM5;CHMP2B;PRKN;MTMR14;TOMM22;ATG4A;ATG4B;ATG14;PRKAA2;ULK1;CSNK2B;VCP;ATG9B;ATG9A,Reactome_2022,Autophagy R-HSA-9612973,Upregulated
0.3726241143590395,1.7203820380790975,0.0,0.052788897119762763,0.997,93/176,29.58%,MAT2A;CFTR;ABCC1;SLC5A5;NFKBIB;HCN1;HCN2;HCN4;HCN3;PDK2;PDK4;PDK3;GNAS;ATL1;GBP2;ZFP36;IRS1;PDCD4;PEX2;NFKB1;RELA;CRTC1;CRTC3;CRTC2;PEX13;ARHGEF2;FOS;SOX9;PEX5;CREB1;PEX14;TBX1;POU4F1;POU4F2;PRDX3;TIMELESS;RPTOR;FAM210B;MINDY4;DAB2IP;TSHR;DMTN;SAMTOR;RHOA;ROCK2;NCOA3;MMP3;MMP8;RYR3;AQP8;AQP9;MYD88;DDX11;PDE2A;PDE3A;PDE4D;CACNA2D1;PDGFB;CACNB1;SBNO2;IP6K2;RPL23;RPS3;PRMT1;CASP7;VCP;MYOD1;MYOG;PABPN1;H2AZ1;UBR1;UBR2;PEX12;RORC;RORB;NR1D1;RORA;RARA;NR1H3;DGKQ;HTRA2;PEX10;CDC73;WNT8B;WNT10B;WNT2;WNT5A;WNT3A;WNT11;WNT9B;WNT9A;WNT5B;WNT7B,GO_Biological_Process_2025,Cellular Response to Oxygen-Containing Compound (GO:1901701),Upregulated
0.595352435805455,1.7198695917525297,0.015267175572519083,0.05279426826998628,0.997,6/17,6.58%,GNA13;GNA15;GNA11;GNA14;GNAQ;TBXA2R,Reactome_2022,Thromboxane Signaling Thru TP Receptor R-HSA-428930,Upregulated
