Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Regulation of Sodium Ion Transmembrane Transport (GO:1902305),GO_Biological_Process_2025,1.1351778022342578,Upregulated,0.4014673409163538,6/17,16.52%
Autophagosome Assembly (GO:0000045),GO_Biological_Process_2025,1.1351078361136884,Upregulated,0.4014095567932075,23/65,25.75%
"Oxidoreductase Activity, Acting on the Aldehyde or Oxo Group of Donors, NAD or NADP as Acceptor (GO:0016620)",GO_Molecular_Function_2025,1.1347602406183992,Upregulated,0.401865858319533,11/21,26.30%
Maturation of LSU-rRNA (GO:0000470),GO_Biological_Process_2025,1.1347139128259076,Upregulated,0.4017677801424859,14/21,41.58%
Regulation of Peptidyl-Tyrosine Phosphorylation (GO:0050730),GO_Biological_Process_2025,1.1346944239794574,Upregulated,0.4016305202748295,9/31,15.96%
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",Reactome_2022,1.1346123965322503,Upregulated,0.4016195147800098,3/19,15.77%
EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,Reactome_2022,1.133842038941174,Upregulated,0.4028313788950838,5/26,6.76%
Response to Endoplasmic Reticulum Stress (GO:0034976),GO_Biological_Process_2025,1.1336870770758538,Upregulated,0.4029397047492772,60/166,30.68%
Response to Glucocorticoid (GO:0051384),GO_Biological_Process_2025,1.133327836342899,Upregulated,0.4034504965566417,4/22,8.87%
Cellular Response to Ketone (GO:1901655),GO_Biological_Process_2025,1.13331723330011,Upregulated,0.4032925453079653,17/37,26.16%
Cellular Response to Topologically Incorrect Protein (GO:0035967),GO_Biological_Process_2025,1.133222761224511,Upregulated,0.4032698290575399,11/22,34.75%
Protein Localization (GO:0008104),GO_Biological_Process_2025,1.1325806290909632,Upregulated,0.4042741975024424,96/320,26.22%
Actin Filament Bundle Assembly (GO:0051017),GO_Biological_Process_2025,1.1320653287889493,Upregulated,0.4050235550298444,9/30,16.17%
Protein N-linked Glycosylation via Asparagine (GO:0018279),GO_Biological_Process_2025,1.1318179672167117,Upregulated,0.4052804864978686,12/36,31.18%
Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869),GO_Molecular_Function_2025,1.1314761812042096,Upregulated,0.4057383793601136,8/16,28.13%
Embryonic Heart Tube Morphogenesis (GO:0003143),GO_Biological_Process_2025,1.131267180652448,Upregulated,0.4059223211413866,13/39,23.12%
Proteasome Degradation WP183,WikiPathways_2024_Human,1.1310203292797167,Upregulated,0.406173250788547,31/51,43.86%
Hyaluronan Metabolism R-HSA-2142845,Reactome_2022,1.1307326130784356,Upregulated,0.4065029246085495,9/16,32.92%
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,Reactome_2022,1.1304563546031436,Upregulated,0.4068353778628892,19/46,30.94%
"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",GO_Molecular_Function_2025,1.1303800880458528,Upregulated,0.4067901547149417,65/253,18.87%
