Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),GO_Cellular_Component_2025,-0.807539125059308,Downregulated,0.963809424983591,10/44,23.82%
tRNA Binding (GO:0000049),GO_Molecular_Function_2025,-0.8079507936159558,Downregulated,0.9637929062667971,48/48,80.46%
Nucleoside Monophosphate Kinase Activity (GO:0050145),GO_Molecular_Function_2025,-0.8086129768055076,Downregulated,0.9632753322841802,3/16,4.22%
Viral Messenger RNA Synthesis R-HSA-168325,Reactome_2022,-0.8089091573582307,Downregulated,0.963445490193075,26/44,45.43%
Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433),GO_Biological_Process_2025,-0.8103083525386752,Downregulated,0.961593222392762,16/91,15.53%
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850),GO_Biological_Process_2025,-0.8110166567164979,Downregulated,0.9609965333557194,10/49,17.49%
Embryonic Skeletal System Morphogenesis (GO:0048704),GO_Biological_Process_2025,-0.8114762840449126,Downregulated,0.960828106163185,9/31,19.98%
Signal Transduction by P53 Class Mediator (GO:0072331),GO_Biological_Process_2025,-0.8120690440199387,Downregulated,0.9604413439071344,12/40,23.50%
Mitotic Prometaphase R-HSA-68877,Reactome_2022,-0.81268185515117,Downregulated,0.9600280158052812,30/160,22.07%
DNA Repair R-HSA-73894,Reactome_2022,-0.8128610223529397,Downregulated,0.9604572463003986,98/256,37.81%
G1/S Transition of Mitotic Cell Cycle (GO:0000082),GO_Biological_Process_2025,-0.8135768939237354,Downregulated,0.9598589281206272,12/57,20.69%
Cell Cycle G1/S Phase Transition (GO:0044843),GO_Biological_Process_2025,-0.8142243474969229,Downregulated,0.9593601464650692,13/59,20.69%
R-SMAD Binding (GO:0070412),GO_Molecular_Function_2025,-0.814563848131496,Downregulated,0.9594458499691152,4/17,17.14%
Import Into Cell (GO:0098657),GO_Biological_Process_2025,-0.8147066127228549,Downregulated,0.9599042563196988,4/15,15.11%
Protein K48-linked Ubiquitination (GO:0070936),GO_Biological_Process_2025,-0.8159322646359214,Downregulated,0.9582582157040396,31/75,37.15%
Glycerolipids And Glycerophospholipids WP4722,WikiPathways_2024_Human,-0.8166630974365129,Downregulated,0.9575843136504416,4/22,10.54%
Cilium Assembly (GO:0060271),GO_Biological_Process_2025,-0.8184561103839122,Downregulated,0.9548831984389028,51/207,23.77%
Negative Regulation of Organelle Organization (GO:0010639),GO_Biological_Process_2025,-0.8189408221706785,Downregulated,0.9546975022399335,12/32,31.39%
Protein Methylation R-HSA-8876725,Reactome_2022,-0.8189631215333096,Downregulated,0.9553754416828978,1/15,1.49%
Rough Endoplasmic Reticulum (GO:0005791),GO_Cellular_Component_2025,-0.8211856039688983,Downregulated,0.951750994818982,8/20,32.96%
Regulation of Cholesterol Biosynthetic Process (GO:0045540),GO_Biological_Process_2025,-0.8217945391356077,Downregulated,0.9512980468003444,9/20,28.21%
MAPK Pathway In Congenital Thyroid Cancer WP4928,WikiPathways_2024_Human,-0.8233069068351954,Downregulated,0.948951433399333,5/16,15.43%
Purine Nucleotide Metabolic Process (GO:0006163),GO_Biological_Process_2025,-0.8233109426680824,Downregulated,0.949664569829846,10/32,27.14%
Metabolic Epileptic Disorders WP5355,WikiPathways_2024_Human,-0.8236244083926924,Downregulated,0.949739081644158,21/85,22.23%
Amino Acid Metabolism WP3925,WikiPathways_2024_Human,-0.8245144515122772,Downregulated,0.948688843170082,15/83,16.59%
Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,Reactome_2022,-0.8252822110723111,Downregulated,0.9478197304923132,9/22,27.19%
Sodium Ion Homeostasis (GO:0055078),GO_Biological_Process_2025,-0.8264097969320169,Downregulated,0.9462539186368456,3/15,7.10%
RNA Catabolic Process (GO:0006401),GO_Biological_Process_2025,-0.8269782840120181,Downregulated,0.945828219979104,32/61,42.54%
Negative Regulation of Phosphorylation (GO:0042326),GO_Biological_Process_2025,-0.8273978343751478,Downregulated,0.945711646199423,24/43,34.98%
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome_2022,-0.8276254899731084,Downregulated,0.9459924073214958,25/54,40.69%
Response to Glucose (GO:0009749),GO_Biological_Process_2025,-0.8294080997273598,Downregulated,0.9430736844482548,5/43,4.49%
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG_2021_Human,-0.8294642487293378,Downregulated,0.9436935598598016,23/23,75.84%
DNA Polymerase Activity (GO:0034061),GO_Molecular_Function_2025,-0.8304707712670112,Downregulated,0.9423985927366652,9/18,36.80%
mRNA Capping R-HSA-72086,Reactome_2022,-0.8328933713300637,Downregulated,0.9381568730292552,14/28,40.58%
Nucleotide excision repair,KEGG_2021_Human,-0.8335233119951054,Downregulated,0.9375431838128367,17/42,36.75%
Nucleotide Excision Repair WP4753,WikiPathways_2024_Human,-0.8335233119951054,Downregulated,0.9375431838128367,17/42,36.75%
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome_2022,-0.8345681972329108,Downregulated,0.9368256222289374,18/40,37.81%
Lysosome Vesicle Biogenesis R-HSA-432720,Reactome_2022,-0.8370483691829684,Downregulated,0.9324450643620203,13/32,26.92%
Positive Regulation of Cytokinesis (GO:0032467),GO_Biological_Process_2025,-0.8375374824004902,Downregulated,0.9321744533451664,4/32,5.70%
Translation Inhibitors In Chronically Activated PDGFRA Cells WP4566,WikiPathways_2024_Human,-0.8380564499369166,Downregulated,0.9317757220130616,15/40,25.18%
MTHFR Deficiency WP4288,WikiPathways_2024_Human,-0.8387886672710192,Downregulated,0.9309229856882528,4/23,5.99%
Digestion And Absorption R-HSA-8963743,Reactome_2022,-0.8405872135818727,Downregulated,0.9278474345842816,7/15,26.11%
Protein-Cysteine S-palmitoyltransferase Activity (GO:0019706),GO_Molecular_Function_2025,-0.8406081658575056,Downregulated,0.9285186966424132,6/21,23.52%
Fat-Soluble Vitamin Metabolic Process (GO:0006775),GO_Biological_Process_2025,-0.8411126218941036,Downregulated,0.9282173027875964,10/26,30.36%
Response Of Mtb To Phagocytosis R-HSA-9637690,Reactome_2022,-0.8413938560361982,Downregulated,0.9283084272319198,7/18,27.87%
Chaperone Mediated Autophagy R-HSA-9613829,Reactome_2022,-0.8428175433643823,Downregulated,0.9260124511356436,6/18,27.44%
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,Reactome_2022,-0.8430529217546902,Downregulated,0.9262090001667148,20/47,32.97%
Regulation of Catabolic Process (GO:0009894),GO_Biological_Process_2025,-0.8440356077659448,Downregulated,0.9248095887254774,19/75,22.21%
Smoothened Signaling Pathway (GO:0007224),GO_Biological_Process_2025,-0.8445909168418272,Downregulated,0.9243234845600324,15/31,34.94%
Nucleotide-Excision Repair (GO:0006289),GO_Biological_Process_2025,-0.8446317434402882,Downregulated,0.9249657862439408,21/49,36.25%
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome_2022,-0.8447334677425721,Downregulated,0.9254986921344532,12/24,42.55%
Organelle Fusion (GO:0048284),GO_Biological_Process_2025,-0.8454873329129954,Downregulated,0.924619155475484,6/27,19.88%
Pathways Affected In Adenoid Cystic Carcinoma WP3651,WikiPathways_2024_Human,-0.845695028098024,Downregulated,0.924895393660635,18/55,23.97%
Protein Localization to Mitochondrion (GO:0070585),GO_Biological_Process_2025,-0.8460497459407862,Downregulated,0.9248485464393058,7/15,32.86%
Phosphatidylinositol Biosynthetic Process (GO:0006661),GO_Biological_Process_2025,-0.8461749090938864,Downregulated,0.9253045853185914,20/83,20.52%
Positive Regulation of Receptor Internalization (GO:0002092),GO_Biological_Process_2025,-0.8465790198024126,Downregulated,0.9251548516130532,6/22,20.48%
Regulation of Neurogenesis (GO:0050767),GO_Biological_Process_2025,-0.8472805274953135,Downregulated,0.9243270574943931,11/60,12.46%
DNA-directed DNA Polymerase Activity (GO:0003887),GO_Molecular_Function_2025,-0.8474506097720554,Downregulated,0.9247128412180232,8/16,36.29%
Maintenance of Protein Localization in Organelle (GO:0072595),GO_Biological_Process_2025,-0.8479885886359732,Downregulated,0.9242822483968204,9/16,39.07%
Nuclear Thyroid Hormone Receptor Binding (GO:0046966),GO_Molecular_Function_2025,-0.8492677165644805,Downregulated,0.922125398788262,6/24,18.17%
Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),GO_Molecular_Function_2025,-0.8496274054219226,Downregulated,0.9220119837596064,15/30,34.33%
Cellular Response to Hexose Stimulus (GO:0071331),GO_Biological_Process_2025,-0.8499094390677497,Downregulated,0.9221125906591172,3/27,2.65%
Regulation of Transcription by RNA Polymerase III (GO:0006359),GO_Biological_Process_2025,-0.8499614418857573,Downregulated,0.9227117447018373,12/23,36.43%
Cardiac Ventricle Development (GO:0003231),GO_Biological_Process_2025,-0.8511140075177943,Downregulated,0.9208117397527052,4/17,7.89%
Positive Regulation by Host of Viral Process (GO:0044794),GO_Biological_Process_2025,-0.8534358115772573,Downregulated,0.916248539277663,4/17,15.21%
DNA Modification (GO:0006304),GO_Biological_Process_2025,-0.8551845867122684,Downregulated,0.913038762444881,4/16,16.81%
Nucleosomal DNA Binding (GO:0031492),GO_Molecular_Function_2025,-0.8555281771085728,Downregulated,0.912971199972979,8/24,22.65%
Mitotic Spindle Checkpoint R-HSA-69618,Reactome_2022,-0.8555813198698162,Downregulated,0.9135693805896148,11/94,11.20%
Signaling By FGFR4 R-HSA-5654743,Reactome_2022,-0.8562340307742682,Downregulated,0.912778214210605,8/34,16.81%
Double-Strand Break Repair (GO:0006302),GO_Biological_Process_2025,-0.8562688053273224,Downregulated,0.9134184330553592,55/153,35.81%
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045),GO_Biological_Process_2025,-0.8576605780896354,Downregulated,0.911000534833821,30/93,25.11%
PKMTs Methylate Histone Lysines R-HSA-3214841,Reactome_2022,-0.8579609170782105,Downregulated,0.9110417656021575,14/35,24.87%
Ubiquitin Protein Ligase Activity (GO:0061630),GO_Molecular_Function_2025,-0.8590197032142166,Downregulated,0.9093388978860342,28/216,11.97%
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,Reactome_2022,-0.8590738227427733,Downregulated,0.9099354828609084,6/25,15.61%
