Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Prion disease,KEGG_2021_Human,1.697795072389709,Upregulated,0.1561283724734768,66/241,17.11%
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Reactome_2022,1.6969795349714687,Upregulated,0.155578824383526,6/25,8.07%
Respiratory System Development (GO:0060541),GO_Biological_Process_2025,1.6965867813961633,Upregulated,0.1542353336427664,6/30,9.36%
DNA Mismatch Repair WP531,WikiPathways_2024_Human,1.6910877518826883,Upregulated,0.1599109983175383,12/22,29.91%
Cardiac Muscle Tissue Morphogenesis (GO:0055008),GO_Biological_Process_2025,1.690825745494676,Upregulated,0.1584882871825767,8/27,7.48%
Muscle Tissue Morphogenesis (GO:0060415),GO_Biological_Process_2025,1.6867270951804971,Upregulated,0.1622885025614919,10/16,27.60%
Alpha-Actinin Binding (GO:0051393),GO_Molecular_Function_2025,1.6848920436613328,Upregulated,0.1634178754979114,9/19,17.49%
"Retrograde Protein Transport, ER to Cytosol (GO:0030970)",GO_Biological_Process_2025,1.6767882453934844,Upregulated,0.1726189638291263,11/18,22.29%
Regulation of ERAD Pathway (GO:1904292),GO_Biological_Process_2025,1.6750913124567943,Upregulated,0.1731805319912654,10/21,20.09%
Regulation of Calcium Ion Transmembrane Transporter Activity (GO:1901019),GO_Biological_Process_2025,1.668497085998207,Upregulated,0.1817920697342654,8/15,24.59%
Collagen-Containing Extracellular Matrix (GO:0062023),GO_Cellular_Component_2025,1.6681192719984574,Upregulated,0.1805128734935175,81/321,14.93%
Rough Endoplasmic Reticulum (GO:0005791),GO_Cellular_Component_2025,1.6617774025268564,Upregulated,0.1882575103868939,13/25,23.92%
Cell Junction Organization R-HSA-446728,Reactome_2022,1.6578010543250168,Upregulated,0.1925984505751438,26/75,17.92%
Supramolecular Fiber (GO:0099512),GO_Cellular_Component_2025,1.6575244807517304,Upregulated,0.1910986035037052,13/28,26.40%
Calcium-Dependent Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0016339),GO_Biological_Process_2025,1.656705440421016,Upregulated,0.1905291617737334,10/32,13.26%
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome_2022,1.653268193558904,Upregulated,0.1938215361613144,5/21,8.07%
Ventricular Septum Development (GO:0003281),GO_Biological_Process_2025,1.6499694147192234,Upregulated,0.1975699454034535,14/37,12.13%
Sarcolemma (GO:0042383),GO_Cellular_Component_2025,1.6498348693099951,Upregulated,0.1958802685021314,22/48,23.34%
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome_2022,1.6496162889524562,Upregulated,0.1942985246395687,14/32,20.65%
Cell-extracellular Matrix Interactions R-HSA-446353,Reactome_2022,1.6432957784496025,Upregulated,0.2032112905658674,8/15,16.30%
PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,Reactome_2022,1.6389483655359531,Upregulated,0.2084805964652645,6/20,7.09%
